,Номенклатура,,,Склад
SF-000170,RND-59-Хрестик-3-13,"Хрестик, Рама 15'', RND 59, 3мм, 13шт",шт,
SF-000155,F421-ІП28-Хниз-5-31,"Хрестик низ, F421, 5мм, 35шт",шт,
SF-000033,KR-265-Хв-4-75,"Хрестик верх,KR-265, 4мм, 75шт",шт,
SF-000035,KR-265-К-3-9,"Кришка, KR-265, 3мм, 9шт",шт,
SF-000036,KR-265-П-8-43,"Промінь, KR-265, 8мм, 43шт",шт,
SF-000034,KR-265-Хн-4-75,"Хрестик низ,KR-265, 4мм, 75шт",шт,
SF-000173,RND-75-Т-Рекс-Промінь-7-44,"Промінь, RND-75, Т-Рекс, 7мм, 44шт",шт,
SF-000174,RND-80-Ракета-8-inch-7-2,"Основа, RND 80, Ракета 8inch, 7мм, 2шт.",шт,
SF-000179,KR-10(225)-В-3-20,"Верхня пластина KH10inch(225), 3мм, 20шт",шт,
SF-000175,RND-81-Пз-2-42,"Планка Передн, задня, Захист KR-210(225) 2мм, 42шт",шт,
SF-000169,RND-59-Низ-4-5,"Нижня пластина, Рама 15'', RND 59, 4мм, 5шт",шт,
SF-000168,RND-59-Верх-2-8,"Верхня пластина, Рама 15'', RND 59,  2мм, 8шт",шт,
SF-000149,ІП66-ЦДБС-Підтримка-2-374,"Підтримка, ІП66, ЦДБС, 2мм, 374шт",шт,
SF-000057,KR-415-П-10-26,"Промінь, KR-415, 10мм, 26шт",шт,
SF-000056,KR-415-К-4-5,"Кришка, KR-415, 4мм,5шт",шт,
SF-000055,KR-415-Хн-5-32,"Хрестик низ,KR-415, 5мм, 32шт",шт,
SF-000054,KR-415-Хв-5-32,"Хрестик верх,KR-415, 5мм, 32шт",шт,
SF-000162,F415-ІП27-Хрестик-4-74,"Хрестик, ІП27, F415, 4мм, 74шт.",шт,
SF-000144,Київ К-ІП-37-13-П-8-32,"Промінь ІП36, 13inch, Київ К, 8мм, 32шт",шт,
SF-000156,F421-ІП28-Хрестик-5-31,"Хрестик, F421, 5мм, 35шт",шт,
SF-000065,F418-retrik-ІП59-Хн-5-40,Хрестик низ П3 F418-retric 5мм 40шт,шт,
SF-000176,RND-81-Зн-2-27,"Планка закруглення низ, Захист KR-210(225) 2мм, 27шт",шт,
SF-000177,RND-81-Лп-2-21,"Планка Права, ліва, Захист KR-210(225) 2мм, 21шт,",шт,
SF-000178,RND-81-Зв-2-95,"Планка закруглення верх, Захист KR-210(225) 2мм, 95шт",шт,
SF-000181,KH-10(225)-П-7-58,"Промінь KH10inch(225) 7мм, 58шт",шт,
SF-000180,KR-10(225)-Н-3-15,"Нижня пластина KH10inch(225), 3мм,15шт",шт,
SF-000182,KH-10(218-225)-Х-4-109,"Хрестик KH10inch(218-225) 4мм, 109шт",шт,
SF-000183,RND-86-F415-Промінь-8-32,"Промінь, RND86, F413, 8мм, 32шт",шт,
SF-000184,RND-86-F415-Пластина-3-25,"Пластина батареї, RND86, F413, 3мм, 25шт",шт,
SF-000185,RND-74-Т-Рекс-SPNп-6-88,"SPN-пластина, RND-74, Т-Рекс, 6мм, 88шт",шт,
SF-000083,RND-31-ЦДБС-Промені-10-66,"Промінь, RND-31, ЦДБС, 10мм, 66шт",шт,
SF-000188,RND-82-Промінь-10-94,"Промінь, RND 82, Drozd Interceptor, 10мм, 94шт",шт,
SF-000189,RND-88-Ракета-7-inch-10-2,"Основа, RND 88, Ракета 7inch, 10мм, 2шт",шт,
SF-000195,ІП-58-KR-325-V-ВП-Планка-5-12,"Планка з'єднювання, KR 325 V-ВП, 5мм, 12шт",шт,
SF-000196,RND-58-F421-Промінь-10-18,"Промінь, F421 RND 58, 10мм, 18шт",шт,
SF-000187,RND-82-Низ-3-48,"Нижня пластина, RND 82, Drozd Interceptor, 3мм, 48шт",шт,
SF-000186,RND-82-Верх-3-48,"Верхня пластина, RND 82, Drozd Interceptor, 3мм, 48шт",шт,
SF-000197,RND-91-Ракета-7-inch-7-2,"Основа, RND 91, Ракета 7inch, 7мм, 2шт",шт,
SF-000198,RND-92-Ракета-7-inch-7-3,"Основа, RND 92, Ракета 7inch, 7мм, 3шт",шт,
SF-000199,RND-93-Промінь-11inch-8-44,"Складова Промінь, RND 93, Київ К, 8мм, 44шт.",шт,
SF-000078,RND-31-ЦДБС-Верх-2-30,"Верхня пластина, RND-31, ЦДБС, 2мм, 30шт",шт,
SF-000202,RND-60-П-8-50,"Промінь, RND 60, Київ К, 8мм, 50шт",шт,
SF-000201,RND-60-Н-3-36,"Нижня пластина, RND 60, Київ К, 3мм, 36шт",шт,
SF-000200,RND-60-В-3-42,"Верхня пластина, RND 60, Київ К, 3мм, 42шт",шт,
SF-000203,RND-48-ОШ-1-Каркас-8-4,"Каркас 7'', RND 48, 8мм, 4шт",шт,
SF-000079,RND-31-ЦДБС-Середина-2-56,"Середня пластина, RND-31, ЦДБС, 2мм, 56шт",шт,
SF-000204,RND-95-Промінь-Лівий-8-43,"Складова Промінь лівий, RND 95, F411, 8мм, 43шт.",шт,
SF-000206,RND-95-Пластина-2-189,"Складова Пластина ліва, RND 95, F411, 2мм, 189шт.",шт,
SF-000080,RND-31-ЦДБС-Низ-2-49,"Нижня пластина, RND-31, ЦДБС, 2мм, 49шт",шт,
SF-000207,RND-96-Промінь-8-32,"Складова, Промінь, RND 96, F413, 8мм, 32шт.",шт,
SF-000209,RND-96-Планка-Довга-3-84,"Складова, Планка довга, RND 96, F413, 3мм 84шт.",шт,
SF-000212,RND-73-X-FLY-Хрестик-3-44,"Хрестик, RND-73, X-FLY, 3мм, 44шт",шт,
SF-000213,RND-73-X-FLY-Промінь-7-44,"Промінь, RND-73, X-FLY, 7мм, 44шт",шт,
SF-000053,KR-385-П-10-28,"Промінь, KR-385, 10мм, 28шт",шт,
SF-000210,RND-73-X-FLY-Верх-3-36,"Верхня пластина, RND-73, X-FLY, 3мм, 36шт",шт,
SF-000211,RND-73-X-FLY-Низ-3-22,"Нижня пластина, RND-73, X-FLY, 3мм, 22шт",шт,
SF-000050,KR-385-Хв-5-44,"Хрестик верх,KR-385, 5мм, 44шт",шт,
SF-000051,KR-385-Хн-5-44,"Хрестик низ,KR-385, 5мм, 44шт",шт,
SF-000052,KR-385-К-4-5,"Кришка, KR-385, 4мм, 5шт",шт,
SF-000208,RND-96-Планка-Коротка-3-109,"Складова, Планка коротка, RND 96, F413, 3мм 109шт.",шт,
SF-000205,RND-95-Промінь-Правий-8-43,"Складова Промінь правий, RND 95, F411, 8мм, 43шт.",шт,
SF-000215,KR-385-Скайтактік-Н-3-22,"Нижня пластина, KR 385 Скайтактік, 3мм, 22шт",шт,
SF-000217,KR-385-Скайтактік-Хн-5-44,"Хрестик низ, KR 385 Скайтактік, 5мм, 44шт",шт,
SF-000216,KR-385-Скайтактік-Хв-5-44,"Хрестик верх, KR 385 Скайтактік, 5мм, 44шт",шт,
SF-000214,KR-385-Скайтактік-В-широка-3-8,"Верхня пластина розширена, KR 385 Скайтактік, 3мм, 8шт",шт,
SF-000218,RND-89-ПроміньЛ-7-44,"Складова Промінь лівий, RND 89, F411, 7мм, 44шт.",шт,
SF-000219,RND-89-ПроміньП-7-44,"Складова Промінь правий, RND 89, F411, 7мм, 44шт.",шт,
SF-000220,RND-89-90-ПластинаЛ-2-192,"Складова Пластина ліва, RND 89-90, F411, 2мм, 192шт.",шт,
SF-000221,RND-89-90-ПластинаП-2-192,"Складова Пластина права, RND 89-90, F411, 2мм, 192шт.",шт,
SF-000222,RND-90-ПроміньЛ-8-44,"Складова Промінь лівий, RND 90, F411, 8мм, 44шт.",шт,
SF-000223,RND-90-ПроміньП-8-44,"Складова Промінь правий, RND 90, F411, 8мм, 44шт.",шт,
SF-000225,"RND-87-Drozd 9""-Низ-3-26","Нижня пластина, RND 87, Drozd 9"", 3мм, 26шт",шт,13
SF-000226,"RND-87-Drozd 9""-Хрестик-3-67","Хрестик, RND 87, Drozd 9"", 3мм, 67шт",шт,44
SF-000224,"RND-87-Drozd 9""-Верх-2-34","Верхня пластина, RND 87, Drozd 9"", 2мм, 34шт",шт,56
SF-000229,RND-98-Промінь-Лівий-8-32,"Складова Промінь лівий, RND 98, F413, 8мм, 32шт.",шт,
SF-000230,RND-98-Промінь-Правий-8-32,"Складова Промінь правий, RND 98, F413, 8мм, 32шт.",шт,
SF-000232,RND-100-Промінь-8-34,"Складова Промінь, RND 100, F610, 8мм, 34шт.",шт,
SF-000228,"RND-87-Drozd 9""-Перемичка-2-66","Перемичка, RND 87, Drozd 9"", 2мм, 66шт",шт,660
SF-000227,"RND-87-Drozd 9""-Промінь-10-60","Промінь, RND 87, Drozd 9"", 10мм, 60шт",шт,235
SF-000231,RND-98-Пластина-2-112,"Складова Пластина велика, RND 98, F413 F613 F415, 2мм, 112шт.",шт,
SF-000235,RND-94-Промінь-8-25,"Промінь, RND 94, Крук 13"" Retrik, ОШБр 59, 8мм, 25шт",шт,
SF-000237,RND-94-Пластина-3-10,"Пластина, RND 94, Крук 13"" Retrik, ОШБр 59, 3мм, 10шт",шт,
SF-000236,RND-94-Перемичка-2-42,"Перемичка, RND 94, Крук 13"" Retrik, ОШБр 59, 2мм, 42шт",шт,
SF-000238,Літак-ІП68-1-БФЗ-4-4,"Бік фюзеляжу зад, ІП68-1, Капітан-Немо V2, 2мм, 4шт",шт,
SF-000250,Літак-ІП68-13-Н3-4мм-13шт,"Нервюра 3, ІП68-13, Капітан-Немо, 4мм, 13шт",шт,
SF-000241,Літак-ІП68-4-ВФП-4-4,"Верх фюзеляжу перед , ІП68-4, Капітан-Немо, 4мм,  4шт",шт,
SF-000249,Літак-ІП68-12-Н2-10мм-10шт,"Нервюра 2, ІП68-12, Капітан-Немо, 10мм, 10шт",шт,
SF-000244,Літак-ІП68-7-Гачок-3-54,"Гачок пуску, ІП68-7, Капітан-Немо, мм, шт",шт,
SF-000245,Літак-ІП68-8-Кришка-1-9,"Кришка, ІП68-8, Капітан-Немо, 1мм, 9шт",шт,
SF-000194,KR-325-V-ВП-П-10-31,"Промінь, KR-325 V-ВП, 10мм, 31шт",шт,1800
SF-000190,ІП-58-KR-325-V-ВП-В-3-28,"Верхня пластина, KR 325 V-ВП  3мм, 28шт",шт,83
SF-000191,ІП-58-KR-325-V-ВП-Хв-5-54,"Хрестик верх, KR 325 V-ВП, 5мм, 54шт",шт,97
SF-000192,ІП-58-KR-325-V-ВП-Хн-5-54,"Хрестик низ, KR 325 V-ВП, 5мм, 54шт",шт,98
   SF-000258,KR-Line-235-415-Н-3-24,"Нижня пластина KR Line 235-415, 3мм, 24шт",шт,
SF-000261,ІП-58-63-64-KR-325-V-ВП-К-4-6,"Кришка, ІП 58-63-64, KR 325 V-ВП 4мм, 6шт",шт,490
FG-000073,"RND 111, Litavr 7","RND 111, Litavr 7",шт,
SF-000267,RND-107-325-П-10-31,"Промінь, RND 107, KR-325 V-ЦДБС, 10мм, 31шт",шт,
SF-000268,RND-107-KR-325-Підтримка-3-47,"Підтримка батареї RND 107, KR-325 V-ЦДБС, 3мм, 47шт",шт,
SF-000266,RND-107-KR-325-Хн-5-54,"Хрестик низ, RND 107, KR-325 V-ЦДБС, 5мм, 54шт",шт,199
SF-000265,RND-107-KR-325-Хв-5-54,"Хрестик верх, RND 107, KR-325 V-ЦДБС, 5мм, 54шт",шт,120
SF-000269,KR 210-415-В-широкий-3-8,"Розширенний верх KR 210-415 3мм, 8шт",шт,
SF-000102,Київ К-RND-34-Цп-2-47,"Центральна пластина, RND 34, Київ, 3мм, 47шт",шт,
